Probe_ID,Healthy_Mean,Cancer_Mean,Log2FC,Gene
11715100_at,3.1578162162162164,3.484651020408163,0.10916973451310197,HIST1H3G
11715101_s_at,4.000835810810812,4.255733673469387,0.07172293231979143,HIST1H3G
11715102_x_at,3.251216216216216,3.5636969387755104,0.10232735372508062,HIST1H3G
11715103_x_at,3.4824020270270277,3.6705000000000005,0.059304955708820106,TNFAIP8L1
11715104_s_at,6.843160810810811,2.909097959183674,-1.0045994427753937,UNKNOWN
11715105_at,2.274908783783784,2.445373469387755,0.07320565199489004,
11715106_x_at,2.641041891891892,2.653210204081633,0.004813428355912919,
11715107_s_at,2.3334189189189187,2.3620969387755104,0.01235868629657344,
11715108_x_at,2.4069736486486484,2.3429020408163264,-0.027389709539701546,
11715109_at,2.4031216216216214,2.3264408163265307,-0.032879345949665684,
11715110_at,2.5404560810810812,2.435460204081633,-0.04343184891612917,
11715111_s_at,3.992421621621622,4.015128571428573,0.006546908976976518,
11715112_at,2.1758594594594594,2.047828571428571,-0.05936531156277414,
11715113_x_at,5.4378,5.682813265306122,0.05388780419739092,
11715114_x_at,5.395008108108108,5.616339795918368,0.049087140748738545,
11715115_s_at,1.964518918918919,1.9253632653061223,-0.019182217143578928,
11715116_s_at,2.4940472972972976,2.9790397959183665,0.1875211905754468,
11715117_x_at,2.0920290540540543,2.086384693877551,-0.0026359816720762375,
11715118_s_at,3.496437162162162,3.583652040816327,0.027715221676334334,
11715119_s_at,5.512483783783784,6.742398979591835,0.24957277913179787,
11715120_s_at,2.3778702702702703,2.4335122448979587,0.02357118731145369,
11715121_s_at,2.394218918918919,2.318285714285714,-0.03264150624266415,
11715122_at,2.8119972972972973,3.043757142857143,0.08514925909254667,
11715123_s_at,2.261087162162162,2.1737989795918367,-0.039142247469006186,
11715124_s_at,4.551035810810811,4.322201020408164,-0.06073399801732737,
11715125_at,5.792677027027027,6.773317346938776,0.1945501560350893,
11715126_s_at,2.6910432432432434,2.7074346938775515,0.006392640063576538,
11715127_s_at,2.0499702702702707,2.009132653061225,-0.019447472904090768,
11715128_s_at,3.2278222972972976,3.134077551020408,-0.03234928653607705,
11715129_s_at,6.693089189189189,6.532120408163265,-0.03050697120723367,
11715130_s_at,2.2024918918918925,2.1666897959183675,-0.016219367847276178,
11715131_s_at,2.5412033783783783,2.482227551020408,-0.024229221973284476,
11715132_x_at,2.498770945945946,2.5947,0.039023155097209994,
11715133_s_at,1.978706756756757,1.8680775510204084,-0.05460206816887503,
11715134_s_at,1.9786581081081083,1.9364642857142857,-0.020582448429769862,
11715135_s_at,2.760037837837838,2.710418367346938,-0.019165313281160445,
11715136_at,2.5267695945945943,2.5649255102040813,0.015524604654481466,
11715137_s_at,2.989665540540541,2.8582459183673468,-0.04832270692420493,
11715138_s_at,4.314256756756757,4.271134693877551,-0.01175437501854626,
11715139_x_at,1.8686594594594594,1.840172448979592,-0.014398185312580525,
11715140_s_at,2.8817344594594596,2.8412438775510203,-0.015127867622618307,
11715141_s_at,2.407434459459459,2.4898448979591836,0.03447701130309899,
11715142_s_at,2.6268087837837837,2.4522051020408164,-0.0711825038050391,
11715143_s_at,2.6744283783783787,2.6398867346938775,-0.013626273338495531,
11715144_s_at,2.811522297297297,2.6956030612244892,-0.04455750833876837,
11715145_s_at,2.7399344594594597,2.625968367346939,-0.04464664861959933,
11715146_x_at,3.4297999999999997,3.302755102040816,-0.04198083494691218,
11715147_at,2.4305087837837833,2.3628897959183677,-0.028721058895712748,
11715148_s_at,2.1766750000000004,2.131566326530612,-0.020633062496690613,
11715149_x_at,2.431323648648648,2.5446704081632654,0.046886278587051855,
11715150_s_at,3.12325,3.037523469387755,-0.03031129109666919,
11715151_x_at,2.4259128378378376,2.4105499999999993,-0.006484033570198999,
11715152_at,2.0884905405405405,2.0653132653061226,-0.010867391683605065,
11715153_s_at,2.5083027027027027,2.4561428571428574,-0.02161038001005977,
11715154_s_at,2.340688513513514,2.176787755102041,-0.07257676662880153,
11715155_s_at,3.2876885135135137,3.304029591836735,0.005487894457886444,
11715156_s_at,5.894799324324325,5.7700540816326535,-0.02634120356499592,
11715157_s_at,2.206350675675676,2.271090816326531,0.02883959360002808,
11715158_s_at,2.284177702702703,2.2611397959183672,-0.010155904929270765,
11715159_at,9.638370270270268,9.436741836734694,-0.02760575746253835,
11715160_x_at,2.359251351351351,2.3431193877551024,-0.00694487062228899,
11715161_s_at,2.4660790540540543,2.385610204081633,-0.033888678955406704,
11715162_s_at,3.132145945945946,3.168237755102041,0.012546360294473313,
11715163_s_at,2.602322972972973,2.646430612244897,0.017557406820623456,
11715164_s_at,3.2783837837837835,2.8671918367346936,-0.1457795695244486,
11715165_at,6.774421621621621,5.972295918367347,-0.15710154822154943,
11715166_at,2.74464527027027,2.8862377551020413,0.053545107023317495,
11715167_at,2.8229756756756754,2.880437755102041,0.021523392293472776,
11715168_s_at,2.8211574324324324,2.6241224489795916,-0.07637799739203399,
11715169_at,4.598873648648649,4.529845918367347,-0.017897340429184005,
11715170_x_at,2.2141817567567568,2.1487122448979594,-0.029689595166627614,
11715171_at,5.870925675675676,5.366262244897961,-0.1100578901602125,
11715172_at,2.5719445945945947,2.446161224489796,-0.05171950471060205,
11715173_s_at,4.887742567567567,4.7945,-0.023030414874834815,
11715174_s_at,3.217763513513513,3.0888295918367343,-0.044790269072919386,
11715175_x_at,5.872445945945946,5.387321428571428,-0.10561260156642938,
11715176_at,3.0681337837837837,3.1286316326530614,0.021296579080960498,
11715177_s_at,3.061591216216216,4.060705102040815,0.31729336276837516,
11715178_s_at,4.862493918918918,4.678818367346939,-0.045923752136328044,
11715179_s_at,2.5599033783783782,2.432627551020408,-0.052524754972910426,
11715180_s_at,2.025739189189189,1.9981499999999999,-0.013215072017662921,
11715181_x_at,3.591939189189189,3.5510479591836734,-0.01290474702232336,
11715182_x_at,5.326721621621622,5.53930918367347,0.04768011858317589,
11715183_s_at,2.066085135135135,2.169287755102041,0.047760898524769946,
11715184_x_at,9.895437162162162,10.32760918367347,0.056119313185436503,
11715185_x_at,2.45954527027027,2.36680612244898,-0.0392017735720962,
11715186_x_at,2.0166905405405413,1.951155102040816,-0.031686963308512395,
11715187_x_at,2.092232432432432,2.086942857142857,-0.0024699884839298747,
11715188_at,2.0964013513513513,2.067126530612245,-0.013704799301312187,
11715189_s_at,11.208416216216216,11.383841836734698,0.020582897682870804,
11715190_s_at,3.2441006756756754,3.5101265306122444,0.08770902925072477,
11715191_s_at,3.245950675675676,3.506131632653061,0.08580184619487952,
11715192_s_at,3.1825364864864865,3.4705255102040815,0.09606630444317288,
11715193_s_at,3.888108783783783,3.654247959183673,-0.07072831872684393,
11715194_s_at,2.407506756756757,2.3669132653061227,-0.017289961227205497,
11715195_at,5.560344594594595,5.517417346938775,-0.009471215337361727,
11715196_s_at,2.8728054054054057,3.475558163265305,0.20868860445352655,
11715197_s_at,2.2031371621621623,2.155344897959184,-0.021687868388250653,
11715198_s_at,3.0411094594594594,3.1363734693877556,0.03361502156175922,
11715199_s_at,3.1267060810810814,3.147838775510204,0.007369130331486673,
11715200_s_at,3.0620655405405404,3.0951969387755103,0.011719315613643033,
11715201_s_at,3.3591114864864866,3.4690551020408162,0.03593573099679448,
11715202_s_at,7.891881081081081,8.439103061224488,0.08616112176817659,
11715203_s_at,2.226486486486486,2.2304,0.0017488327358952116,
11715204_x_at,3.012863513513514,2.9760163265306123,-0.013308406675148543,
11715205_x_at,2.1984337837837837,2.1424438775510204,-0.025478636813117017,
11715206_x_at,2.262264189189189,2.166376530612245,-0.04304079691675189,
11715207_at,3.017735135135135,2.991604081632653,-0.009413829042106636,
11715208_s_at,2.153995945945946,2.1885071428571425,0.015700307378431644,
11715209_s_at,7.664535810810811,8.015392857142855,0.05726789900173124,
11715210_s_at,3.4262959459459457,3.404466326530612,-0.007132690667758013,
11715211_s_at,3.1716168918918917,3.750058163265306,0.1873385075997689,
11715212_x_at,7.082594594594594,7.547332653061225,0.08065578460381762,
11715213_s_at,2.6049331081081077,2.5341030612244895,-0.02862837730647705,
11715214_at,2.9478675675675676,2.827767346938775,-0.04457044998611903,
11715215_s_at,2.3609756756756757,2.3314948979591836,-0.01271041731226985,
11715216_s_at,2.740777027027027,2.560283673469388,-0.07134577940012243,
11715217_s_at,5.023764864864865,3.311701020408164,-0.48240831311747634,
11715218_s_at,8.947378378378378,8.932689795918368,-0.0021318990199765686,
11715219_s_at,2.441833108108108,2.498223469387755,0.023445308867686254,
11715220_s_at,2.798452702702703,3.4347336734693883,0.2234356092223082,
11715221_x_at,4.595068243243244,5.73386836734694,0.2672797919431149,
11715222_at,8.570298648648649,7.263299999999999,-0.21184589992625025,
11715223_s_at,2.4456236486486485,2.428785714285714,-0.0070673862148549205,
11715224_s_at,2.741124324324324,2.576784693877551,-0.06480863276315207,
11715225_s_at,6.001981081081081,6.339631632653061,0.06794449404505265,
11715226_s_at,2.7053648648648645,2.463083673469388,-0.09755836506228155,
11715227_s_at,2.538171621621622,2.5252438775510204,-0.005280961622065261,
11715228_s_at,9.141057432432433,4.738857142857143,-0.8213727264497721,
11715229_s_at,2.889986486486486,2.8163724489795925,-0.027563169110521812,
11715230_s_at,3.8702087837837835,4.6709000000000005,0.2195940948502133,
11715231_x_at,7.8355554054054055,8.754364285714287,0.14272702632605583,
11715232_x_at,4.989206081081082,5.770915306122448,0.1769860989376184,
11715233_s_at,3.5992777027027025,4.130236734693877,0.15761809076268696,
11715234_s_at,2.659135135135135,2.747904081632653,0.034581334566055055,
11715235_x_at,6.148995945945947,6.10108775510204,-0.009700598425147255,
11715236_s_at,2.306589189189189,2.23284387755102,-0.03253997851046453,
11715237_s_at,11.321236486486487,11.409763265306122,0.010328550529612457,
11715238_x_at,12.29992364864865,12.266233673469387,-0.003659120555893125,
11715239_x_at,8.918438513513513,10.631665306122448,0.22987274608603014,
11715240_at,5.6839952702702705,6.130672448979591,0.09332742208285527,
11715241_s_at,5.471498648648648,5.255906122448979,-0.04888098214460124,
11715242_s_at,2.3006256756756756,2.2761867346938778,-0.01072194219389977,
11715243_x_at,4.328566891891891,4.151732653061225,-0.04868984765744777,
11715244_x_at,4.264971621621621,4.070786734693877,-0.05421615575938077,
11715245_s_at,3.450480405405405,3.265020408163265,-0.06140843077969338,
